"ID","Player","Team","Position","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros"
"*03dyx*","Josh Laurent","BUR","M","FA","30","@TOT Sat 10:00AM","199.5","0","0","-","0%"
"*02lz0*","Emiliano Martinez","AVL","G","FA","32","NEW Sat 7:30AM","196","0","8","310.7","15%"
"*06rlj*","Patrick Dorgu","MUN","D","FA","20","ARS Sun 11:30AM","192.5","0","66","153.1","52%"
"*05oig*","Liam Delap","CHE","F","PMSWJ","22","CRY Sun 9:00AM","191.75","0","100","67.1","100%"
"*03v9d*","Son Heung-Min","TOT","F","PMSWJ","33","BUR Sat 10:00AM","189.5","0","100","36.7","100%"
"*05os8*","Joachim Andersen","FUL","D","FA","29","@BHA Sat 10:00AM","188.5","0","7","363.4","10%"
"*06dmj*","Jurrien Timber","ARS","D","FA","24","@MUN Sun 11:30AM","187.5","0","51","128","70%"
"*03yqz*","Joe Rodon","LEE","D","FA","27","EVE Mon 3:00PM","185.75","0","2","1170.4","5%"
"*06fy7*","Nicolas Dominguez","NOT","M","FA","27","BRF Sun 9:00AM","180","0","0","-","0%"
"*068yt*","Sasa Lukic","FUL","M","FA","28","@BHA Sat 10:00AM","178.25","0","5","396.2","2%"
"*06ybp*","Thierno Barry","EVE","F","FA","22","@LEE Mon 3:00PM","169","0","50","116.4","67%"
"*05g4d*","Dennis Cirkin","SUN","D","FA","23","WHU Sat 10:00AM","168.75","0","2","1198.4","2%"
"*06uzn*","Lucas Pires","BUR","D","FA","24","@TOT Sat 10:00AM","168.5","0","0","-","0%"
"*06v12*","Fer Lopez","WOL","F","FA","21","MCI Sat 12:30PM","168","0","58","152.9","60%"
"*05t6y*","Hannibal Mejbri","BUR","M","FA","22","@TOT Sat 10:00AM","167.75","0","2","1188.4","5%"
"*04qfm*","Ryan Sessegnon","FUL","M","PMSWJ","25","@BHA Sat 10:00AM","167","0","93","115","85%"
"*05raa*","Hugo Bueno","WOL","D","FA","22","MCI Sat 12:30PM","166.5","0","0","-","0%"
"*06cmu*","Bart Verbruggen","BHA","G","Martial","22","FUL Sat 10:00AM","164.25","0","2","1049.4","10%"
"*06ezb*","Micky van de Ven","TOT","D","FA","24","BUR Sat 10:00AM","163","0","2","1090.4","12%"
"*06v05*","Jeremie Frimpong","LIV","D","FA","24","BOU Fri 3:00PM","162.25","0","100","43","100%"
"*0554g*","Calvin Bassey","FUL","D","FA","25","@BHA Sat 10:00AM","160.25","0","2","1147.4","2%"
"*06v06*","Tijjani Reijnders","MCI","M","FA","26","@WOL Sat 12:30PM","158.25","0","100","75.5","100%"
"*04tig*","Fabian Schar","NEW","D","KLPD","33","@AVL Sat 7:30AM","156.5","0","68","142.2","65%"
"*06p5s*","Brajan Gruda","BHA","M","KLPD","21","FUL Sat 10:00AM","156.25","0","78","122.7","78%"
"*06xzd*","Charalampos Kostoulas","BHA","F","FA","18","FUL Sat 10:00AM","156","0","24","187.4","20%"
"*06uzo*","Zian Flemming","BUR","M","FA","26","@TOT Sat 10:00AM","155","0","2","1250.4","5%"
"*05u7f*","Ibrahima Konate","LIV","D","FA","26","BOU Fri 3:00PM","155","0","97","110","98%"
"*051k3*","Jacob Ramsey","AVL","M","FA","24","NEW Sat 7:30AM","154.5","0","2","1184.4","8%"
"*05mzt*","Illan Meslier","LEE","G","FA","25","EVE Mon 3:00PM","154.25","0","5","367.9","2%"
